productId,productname,description,price,demoprice,brand,image,category,subcategory,stock
10065,Kemei KM-4011 Rechargeable Hair Clipper and Beard Trimmer for Men,"1200mAh large capacity lithium battery
120 minutes of cordless use per charge
USB fast charging with LCD power display indicator
Strong power with a sharp blade
2-hours fast and durable charging
High-grade stainless steel blade
4-detachable combs-1mm, 2mm, 3mm, & 4mm
The high-speed copper core motor
Low-frequency vibration","1,450.00",72.5,Gear Exact,https://drive.google.com/uc?export=view&id=1aWoc3Nxp9vJfZuLJf5KsFYmYaK8qLyj_,Electronics,Trimmer,73
10066,Focallure BlurMaX Oil Control Gel Primer (25g),"Focallure BlurMax Oil Control Primer is featuring With Pore-blurring Formula, Newest Blurmax Clear Gel Face Primer Minimizes Large Pores Of Skin Surface And Instantly Smooth Fine Wrinkle For Flawless And Long-stay Base Makeup. Best For The Oily/ Combination Skin With Large Pores. Apply It On The Partial Area You Want To Smooth And Blur?or Anywhere You Want To Control Oil?especially The T-zone Area.
Pore-Blurring
Fine Wrinkle-Smoothing
Smooth Skin Surface
Longlasting Oil-Control for Oily-Area",390,31.2,Easy Dhaka,https://drive.google.com/uc?export=view&id=1cVe5YU1HHghJ_c67QxQqOmk5BWoAl9Z-,Cosmetics,Primer,62
10067,Ego,"FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=1O4UQ6N1E5kT4D1UwZW5WsunKKLSG7xxV,Clothing,Men's wear,62
10068,Assalamu alaikum v1,"FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=1fN9G6o477ulllifh9XO8XSh-DMMCGUzB,Clothing,Men's wear,72
10069,Batman Wall Clock,"High Quality TPU plastic frame
Dimensions: 10” and 14? diameter, 1.75” depth
High-impact Plexiglas crystal face
Backside hook for easy hanging
High-Definition plastic paper printing
Unique gift for friends or family
One free Uniross AA battery free with each clock",787,39.35,Paperboat,https://drive.google.com/uc?export=view&id=15usq0LyG9SpJs9Ga6ozzWUKP0TWrSmvM,Clock,Wall Clock,44
10070,No excuse for salah,"FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=1arQYLFGOZTOpTbogZnbcU2fZmFQ4DWni,Clothing,Men's wear,34
10072,Philips GC1740/20 Steam Iron EasySpeed,"220 ml water tank for longer ironing sessions
Calc Clean slider for durable steam performance
Continuous steam up to 25g/min for good crease removal
Integrated water spray evenly moistens the fabric
Power up to 2000 W enabling constant high steam output
Larger soleplate to cover more in one go
Wider hole for easy water filling
Non-stick soleplate for easy and fast gliding on all fabrics
Triple precision tip to reach the most tricky areas","2,750",137.5,Gear Exact,https://drive.google.com/uc?export=view&id=19ZzbUSQClNFzC_Mey8y-oZkIxyxxYl7e,Electronics,Iron,73
10073,OneOdio A71 Over Ear Studio Monitor Headphone,[Immersed in The World of Music] [Dual-duty Cable Design] [Comfort & Creal-time Design] [Designed for DJ] [Great Compatibility & Adapter-free] The monitor headphone compatible with IOS/Windows/Android. Suitable for all devices with 3.5mm or 6.35mm audio jacks,"4,300.00",279.5,Guitar Paradise,https://drive.google.com/uc?export=view&id=1-ZMUgLs7MrRzmU4e0iD_XdNIWxUoWThB,Musical Instruments,Headphone,24
10074,Being muslim,"FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=1TK0sHlC1SjaZQjtHRdQWW-yN6LB5B3KO,Clothing,Men's wear,73
10075,FA 158 – Focallure UPTOWN GIRLS Eyeshadow Palette – 02 SAKURA IN DREAM,"Focallure UPTOWN Eyeshadow – SAKURA IN DREAM is smooth, highly pigmented, and easy to blend. The finish will last from day to night. Three flower themes, including withered rose, sakura, and sunflower, bring dreamy eye look for you.
Focallure Uptown Girls Eyeshadows are three sets of popular 10 shades eye-shadow palette are back with the more convenient package and good quality still. Take it with you outside to make you the most attractive one in the crowd! Each palette features an eyelid primer + matte + shimmer + glitter up to 10 shades, easy to create any different kind of eye look.",440,35.2,Easy Dhaka,https://drive.google.com/uc?export=view&id=1-laA8U90DeDxwwQ0aRFHQpIcg8yz0e9t,Cosmetics,Palette,34
10076,"Gravity Picks Sunrise – GSUS2PM Standard Size, 2mm, with Multi-hole Grip Handcrafted Acrylic Guitar/Bass Pick with an 80-degree Bevel and Multi-hole Grip","An affordable handcrafted guitar pick
Multi-hole cutouts for better grip
3 distinct playing surfaces – use edges for single-note lines (e.g.) or the rounded surface for chords
Made from thick cast acrylic for a clear tone
Louder and brighter than nylon picks
Long-lasting pick life
Grips fingers and glides across strings
80-degree beveled edge provides a good balance between speed and sound quality
Hand-shaped and buffed with care by a small team of designers
Made in the USA
Sold individually",650,78,Guitar Paradise,https://drive.google.com/uc?export=view&id=1Aic1gYG3ugGJLy6Dy6Zyru3A19rCqlMC,Musical Instruments,Guitar,24
10077,Saramonic SmartMic Professional Mini Condenser Flexible Microphone for Smartphones,"The Saramonic SmartMic Condenser Microphone is small and lightweight
The Saramonic SmartMic uses a TRRS condenser microphone to pick up and record a wide range of sounds The SmartMic is battery-free, with a standard 3.5mm audio plug. 90° Lobar microphone capsule
Integrated shock mount
Limits background noise
Connection: TRRS (3.5mm jack) for iOS and Mac
Frequency range: 35 Hz to 18 kHz
Signal-to-noise ratio: 74dB SPL
Weight: 0.021kg
Foam windscreen included","1,900.00",304,Guitar Paradise,https://drive.google.com/uc?export=view&id=11nrOIkZAHY4XnEHV7dPRv_zj-nzS75ME,Musical Instruments,Microphone,72
10078,WM (Sharp Full Auto Front Loading Inverter Washing Machine),"Capacity: 8.5 KG
Full Auto- Front Loading
J-TECH Inverter
10 Wash Programs","53,000","1,000.00",Esquire Electronics,https://drive.google.com/uc?export=view&id=1STgB6irHDPYFyIh9EBdbcr-f-0wMA0o5,Electronics,Washing Machine,24
10079,Kemei KM-3909 Cordless Beard Trimmer and Hair Clipper for Men,"Elegant design and pro-skin-friend
Silver Pd alloy motor of high rotational speed
Intelligent anti-clip system
Ergonomic body design for comfortable use
Get up to 60 minutes of cordless use per charge
Compact design and comfortable to use
Cord or cordless use
Variable cutting length 0.5 to 12 mm",990,49.5,Gear Exact,https://drive.google.com/uc?export=view&id=1uCyp25-tYxaUEffzeq0wB74rKtOCP4B2,Electronics,Trimmer,36
10080,Focallure Color Concealer Palette,"5 color concealer plate, Lightweight, high coverage, easy to blend and provide a comprehensive coverage effect
No cakey and keep your makeup fresh the whole day
Lasting 8 hours and containing waterproof formula",420,33.6,Easy Dhaka,https://drive.google.com/uc?export=view&id=1WTGtJlL3qux34T_3S_azvWMsUyjpdDr_,Cosmetics,Concealer,23
10081,OMA-5105EB (DC Motor. 2.25 HP Peak) Foldable Motorized Treadmill,"Length: 62.4’’
Width: 27’’
Height: 52’’","33,200.00","1,000.00",Citizen Sports,https://drive.google.com/uc?export=view&id=1KPlVEd-o4JPBwNxQqZvjEJvWqJPFOyKx,Fitness & Sports,Gym Equipment,42
10082,Mind matter,"FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=1pqAT4aiKzFom9tSQraz7vFmNaHHG6Kvu,Clothing,Men's wear,44
10083,WM (Sharp Full Auto J-Tech Inverter Washing Machine),"Capacity: 9.5 KG
Top Load Washing Machine
J-TECH Inverter Technology
NO-HOLES Tub","41,900",700,Esquire Electronics,https://drive.google.com/uc?export=view&id=1PPisi8gAghAjsUydcot_Ycokc48SDRNM,Electronics,Washing Machine,43
10084,Sabar v2,"FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=1Zr9nprCXeoJrVAOLZs-TDTA5raQG27AG,Clothing,Men's wear,63
10085,Panasonic EH-NE72 ExtraCare Shine Boost Hair Dryer with Ionity for Women,"3-speed settings for maximum styling control
Shine boost design keeping hair smooth and shiny
2000W powerful airflow with negative ions to fast
Double external ion outlets to protect moisture from heat
Foldable handle for extra portability and easy storage
Cool-shot switch to set your style
Double overheat protection
ThermoProtect temperature setting
1.8m cord for maximum flexibility
Convenient, ultra-fast drying with extra care
Ergonomically designed handle for comfort and easy
Finger diffuser and styling nozzle","5,350",250,Gear Exact,https://drive.google.com/uc?export=view&id=1fbs4gxNiam868uinyRJPElyTWe9_VmkA,Electronics,Hair Dryer,34
10086,Makeup Revolution Pro Fix Oil Control Fixing Spray – 100 ml,"This Makeup Revolution Pro Oil Control Fixing Spray 100ml ensures that you keep your matte finish for a whole day. The High Tech ingredients ensure that the foundation and eye makeup stay in place without smudging.
Hydrates the skin.
Brightening effect.
Spray gives just the right dose.
Reduced the sebum production.
Suitable for all skin types, but especially for mixed / oily skin.",590,47.2,Easy Dhaka,https://drive.google.com/uc?export=view&id=17MmUoirZqsXrcacSvwrrErZEiL-3XcsM,Cosmetics,Setting Spray,33
10087,Morphy Richards Mixer Grinder,"Power: 500 W
3 Jars
High-grade stainless steel jars
Robust and ergonomically designed ABS handle
Shock-proof insulated body","4,900",196,Esquire Electronics,https://drive.google.com/uc?export=view&id=11mfkJxauYkosKZ_vDu9xC6YYSouvg-jI,Electronics,Mixer Grinder,34
10088,Morphy Richards Dry Iron,"1000 Watts
Double Teflon classic coating
Biggest soleplate
360° swivel cord
Neon indicator","1,490",59.6,Esquire Electronics,https://drive.google.com/uc?export=view&id=1t9OdT_r2jENWazO4eAoxU0COaCgcYa6K,Electronics,Iron,63
10089,Everything comes from none?,"FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=1p-4gszovErNj4x_VjX9Y3pHegFGWgxKI,Clothing,Men's wear,34
10090,Batman Black Wall Clock,"Add your preferred backlight color * Red
Green
Blue
Glow In The Dark
If you also want to add Luminous Glow In The Dark pointer and dials, check it out!
Add it (+? 140.00)","1,390.00",69.5,Paperboat,https://drive.google.com/uc?export=view&id=1_stDk10CcKEpkk1MQ_JB2BrLQhG4rFsZ,Clock,Wall Clock,43
10091,Pray like it's your last day,"FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=1u8QSBRmheYPMl-gbCBIqmLkySFxP75_n,Clothing,Men's wear,63
10092,WM (Sharp Full Auto Washing Machine),"Capacity: 8.0 KG
Fuzzy Control
Auto Start After Blackout
Washboard Texture Stainless Steel Tub
Water Efficiency Rating 3 Ticks","28,900",500,Esquire Electronics,https://drive.google.com/uc?export=view&id=1ktWpDU3IE3xL10j73uIA8U7zfQcxc5_F,Electronics,Washing Machine,66
10093,Adjustable Door Pull Up and Chin Up Bar – Doorway Pull-Up Bar with Soft Grip Handles – Heavy Duty Home Fitness – Multi-Functional Upper Body Workout,"Made of heavy-duty steel
Max Load: 150KG
Size: 3 different size is available
Compatible with almost any door frame
It can be easily set up","1,249.00",62.45,Citizen Sports,https://drive.google.com/uc?export=view&id=1hJIDKZpsXDuz4A52EcVxMo-RXpPTCQb0,Fitness & Sports,Gym Equipment,34
10094,PINKFLASH Lasting Matte Concealer,"High coverage of spots and fine lines say goodbye to dark circles and facial blemishes.
Natural makeup effect and light texture can make your face skin breathe smoothly without any burden and non-comedogenic.
Non-cakey, super ductility, and moisturizing formula will not make your skin feeling dry or looking cakey.
Long-lasting, waterproof, non-sticky, flawless makeup for the whole day.",185,14.8,Easy Dhaka,https://drive.google.com/uc?export=view&id=1NPfdRXf2r3adtoCAgIXLpQXYnRICC_Zi,Cosmetics,Concealer,44
10095,HTC AT-1210 Beard Trimmer and Hair Clipper for Men,"Compact design and comfortable to use
Ergonomic design for easier handling
High-grade stainless steel blade
Effortless even trim
Quick-release blades for easy cleaning
45 minutes of cordless use
Skin-friendly blades for smooth skin
4-detachable 1mm, 3mm, 5mm, & 7mm combs",499,24.95,Gear Exact,https://drive.google.com/uc?export=view&id=1oqqqNyztAHQ08fKSbF-aF-dciPhLJ5Kc,Electronics,Trimmer,33
10096,PINKFLASH Ever Glossy Moist Lip Gloss,"It has 3 transparent colour that contains coconut oil, has a super moisturizing effect, and brings luster to dry lips, The unique silicone brush head will not produce dyeing after overlay. Other 2 colour with fine shimmering pearl the faint shimmer makes your lips look unique and sexy, and the non-grainy glitter makes your lips feel more comfortable.
It has other 6 mirror lip glosses of different colors bring a new look to your makeup?Heart-shaped hollow flocking brush head brings you the perfect colour. Easy to use, with unique colors and brightness, different usage has different effects, choose different colors on different occasions to show different self.",120,9.6,Easy Dhaka,https://drive.google.com/uc?export=view&id=1MLz5xVKz3BaVLQVxpn2fWwph_HHPsXge,Cosmetics,Lipstick,72
10097,Maybelline Baby Skin Instant Pore Eraser Primer – 22ml,Maybelline Baby Skin Instant Pore Eraser makeup primer leaves skin with a baby smooth and matte finish. Moisturizes all day. This lightweight and breathable pore-blurring makeup primer leave skin with a smooth matte finish. Non-comedogenic. Fragrance-free. The gel texture in Baby Skin instantly helps to vanish pores and makes the skin feel light. It avoids a shine on the skin and makes the skin feel soft.,680,54.4,Easy Dhaka,https://drive.google.com/uc?export=view&id=1MrGvPZvjCoJogjSu-Gqwd8IZ_xp-1GW5,Cosmetics,Primer,44
10098,Panasonic EH-ND13 Compact DryCare Hair Dryer for Women,"3-flexible speed settings for careful drying
Compact design, portable & durable
Comfortable, textured handle for easy grip
Turbo function consumes 1000W power
Easy storage hook for convenient storage
Tangle-free cord enables easy usage
Selectable temperature/ airflow settings
Healthy mode with airflow of 50 degrees","1,650.00",82.5,Gear Exact,https://drive.google.com/uc?export=view&id=1f1YMZxUvSquZX5nwgDz_TRL1GFQdXv3Z,Electronics,Hair Dryer,72
10099,Tawhid,"FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=1zlysMrYTuyP6HX40rwKEjy4UUhvlkKIG,Clothing,Men's wear,22
10100,G Natural Base Bansuri Flute 25 Inches,"Key - G Size - 25 Inch Tune- Master Tune Uses: Can Be Use for Studio Recording, (Highly Recommended for Classical music, orchestral playing, studio recording) Bamboo Age: More Than 3 Years Appearance Note: Since bamboo is a natural product, the color, dimensions, and holes are slightly different for every flute Bansuri.","2,000.00",240,Labu Flutes,https://drive.google.com/uc?export=view&id=1plj8-Q-7nfDwlBX8NtRNH4PNtdzTUJ4x,Musical Instruments,Flute,22
10101,Focallure Pressed Powder,Focallure Pressed Powder is weightless finishing powder. Which is formulated with light-reflecting optics to help diffuse the look or appearance of fine lines. lilac plant stems cells and vitamin C.,330,26.4,Easy Dhaka,https://drive.google.com/uc?export=view&id=1xKY3wHuafvAIaxkJBoiSLFGP84NxqIPG,Cosmetics,Compact Powder,63
10102,Sharp Full Auto J-Tech Inverter Washing Machine,"Capacity: 8.5 KG
Top Load Washing Machine
J-TECH Inverter Technology
NO-HOLES Tub","35,900",700,Esquire Electronics,https://drive.google.com/uc?export=view&id=1PPisi8gAghAjsUydcot_Ycokc48SDRNM,Electronics,Washing Machine,44
10103,Islam for better life,"FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=1wUCarc0BOTXcV2htCoWkEkICSnaGM3sh,Clothing,Men's wear,72
10104,Refrigerator (Sharp 4-Door Refrigerator),"Capacity: 605 Liters
Color: Black
Hybrid Cooling System
PCI Technology
Ag+ Nano Deodorizer","2,59,900","3,000.00",Esquire Electronics,https://drive.google.com/uc?export=view&id=1MbFJzKzi38bd85_JREx_p0Swbe0IKa-b,Electronics,Refrigerator,33
10105,Naruto Logo Wall Clock,"High Quality TPU plastic frame
Dimensions: 10” and 14? diameter, 1.75” depth
High-impact Plexiglas crystal face
Backside hook for easy hanging
High-Definition plastic paper printing
Unique gift for friends or family
One free Uniross AA battery free with each clock",787,39.35,Paperboat,https://drive.google.com/uc?export=view&id=1IuukW1uNg85t241p8tKSuWJbOg2G9ams,Clock,Wall Clock,72
10106,Focallure Flawless Longwear Foundation (FA 256),"Full Coverage
Longwear
Super Waterproof
Non-Oxidizing
Flaw Resistance",470,37.6,Easy Dhaka,https://drive.google.com/uc?export=view&id=1e96gu60obupiC0ErYNqL90hhd55JdjU-,Cosmetics,Foundation,22
10107,AC (General 1.5 Ton AC),"Capacity: 1.5 Ton (18,000 BTU)
Powerful Cooling
Tropical Specifications
Eco-friendly R410A Gas
Low Noise Design","99,900","1,000.00",Esquire Electronics,https://drive.google.com/uc?export=view&id=1Y5MjW7KxqC06o7iH4w6Z2qDX6SMQYagL,Electronics,AC,33
10108,5 Kg Hex Dumbbell 1 Pair (Rubber Coated),Weight - 10 kg,"2,385.00",119.25,Citizen Sports,https://drive.google.com/uc?export=view&id=1YWYq4DNFqQKnW3fx3Z6Z6b9aERq8W7t9,Fitness & Sports,Gym Equipment,66
10109,Power Twister Exerciser (30KG),"It is Made of High Grade Metal Wire and Spring
When and where you can use it and very convenient
Rubber handles for excellent grip
Ideal size for use any place any time and any where.",499,24.95,Citizen Sports,https://drive.google.com/uc?export=view&id=1wTcNz1ARx3RM7hOvAzl5p7bzzS2on-hk,Fitness & Sports,Gym Equipment,34
10110,TPE YOGA Mat 6mm- eco friendly ( 2' x 6'),Weight - 1 kg,699,34.95,Citizen Sports,https://drive.google.com/uc?export=view&id=1CHT_KmzX4FDBQWQ85vsjE5BkEVOm2fUh,Fitness & Sports,Gym Equipment,63
10111,Islam is perfect but I'm not,"FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=1B1Q7aDHd6di1SLVeRE_--v4INmDxZkiI,Clothing,Men's wear,24
10112,Security is a myth,"FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=1PmgOMj7sKsFZQ6U60iKpa2p8Ph93HSyW,Clothing,Men's wear,44
10113,Ireneda Waterproof Matte Liquid Lipstick,"Ireneda is in pursuit of breakthroughs, full of curiosity about the world, and does not easily define beauty, and hereby launches Transferproof Undefined Liquid Matte Lipstick. Intensively lock color, Break the usual, defined by you.",140,11.2,Easy Dhaka,https://drive.google.com/uc?export=view&id=1lgS99Fl_4zidEE8gElWLmvDOJHf-TaR-,Cosmetics,Lipstick,62
